x_m,r_m
0.012752486224623171,0.0314506540907861
0.013867081803792772,0.031853055888877525
0.014974223824572107,0.03225245978609979
0.016073912286961176,0.03264886578245288
0.017166147190959984,0.03304227387793681
0.018250928536568522,0.03343268407255159
0.01932825632378679,0.033820096366297195
0.020398130552614798,0.03420451075917365
0.02146055122305254,0.03458592725118093
0.022515518335100012,0.034964345842319056
0.02356303188875723,0.035339766532588024
0.024603091884024167,0.035712189321987824
0.025635698320900843,0.036081614210518455
0.026660851199387256,0.03644804119817993
0.027678550519483404,0.036811470284972246
0.02868879628118928,0.037171901470895406
0.029691588484504892,0.037529334755949384
0.030686927129430247,0.037883770140134214
0.031674812215965326,0.03823520762344989
0.03265524374411014,0.03858364720589639
0.03362822171386469,0.038929088887473734
0.034593746125228975,0.039271532668181904
0.035551816978203,0.039610978548020925
0.036502434272786745,0.03994742652699078
0.03744559800898023,0.04028087660509148
0.03838130818678345,0.040611328782323014
0.03930956480619641,0.04093878305868538
0.0402303678672191,0.04126323943417858
0.04114371736985153,0.041584697908802634
0.042049613314093674,0.04190315848255751
0.04294805569994557,0.04221862115544324
0.043839044527407195,0.04253108592745979
0.04472257979647855,0.04284055279860719
0.04559866150715965,0.04314702176888542
0.04646728965945049,0.043450492838294504
0.04732846425335104,0.04375096600683441
0.04818218528886134,0.044048441274505155
0.04902845276598136,0.04434291864130674
0.04986726668471113,0.04463439810723917
0.05069862704505063,0.044922879672302435
0.051522533846999855,0.04520836333649653
0.05233898709055883,0.04549084909982146
0.05314798677572753,0.04577033696227724
0.05394953290250597,0.04604682692386386
0.05474362547089414,0.04632031898458131
0.055530264480892044,0.0465908131444296
0.05630944993249967,0.046858309403408724
0.057081181825717045,0.047122807761518684
0.05784546016054416,0.0473843082187595
0.058602284936981,0.04764281077513114
0.05935165615502757,0.04789831543063362
0.06009357381468387,0.04815082218526694
0.060828037915949915,0.04840033103903109
0.06155504845882569,0.048646841991926086
0.06227460544331121,0.04889035504395192
0.06298670886940645,0.04913087019510858
0.06369135873711143,0.04936838744539609
0.06438855504642613,0.04960290679481443
0.06507829779735058,0.04983442824336362
0.06576058698988477,0.05006295179104364
0.06643542262402868,0.0502884774378545
0.06710280469978233,0.0505110051837962
0.06776273321714571,0.05073053502886873
0.06841520817611883,0.05094706697307211
0.06906022957670167,0.05116060101640631
0.06969779741889429,0.05137113715887136
0.07032791170269659,0.05157867540046725
0.07095057242810865,0.05178321574119397
0.07156577959513043,0.05198475818105153
0.07217353320376196,0.05218330272003993
0.07277383325400322,0.052378849358159174
0.0733666797458542,0.05257139809540925
0.07395207267931493,0.05276094893179016
0.07453001205438539,0.05294750186730191
0.07510049787106557,0.0531310569019445
0.0756635301293555,0.053311614035717936
0.07621910882925517,0.053489173268622195
0.07676723397076457,0.05366373460065729
0.07730790555388369,0.05383529803182324
0.07784112357861256,0.054003863562120016
0.07836688804495115,0.054169431191547636
0.07888519895289949,0.054332000920106094
0.07939605630245755,0.05449157274779538
0.07989946009362535,0.05464814667461551
0.08039541032640288,0.05480172270056649
0.08088390700079015,0.05495230082564829
0.08136495011678715,0.05509988104986094
0.08183853967439389,0.05524446337320442
0.08230467567361036,0.05538604779567874
0.08276335811443657,0.0555246343172839
0.08321458699687251,0.05566022293801989
0.08365836232091817,0.05579281365788673
0.08409468408657358,0.0559224064768844
0.08452355229383873,0.05604900139501291
0.08494496694271361,0.05617259841227226
0.08535892803319821,0.05629319752866244
0.08576543556529255,0.05641079874418346
0.08616448953899664,0.05652540205883533
0.08655608995431044,0.056637007472618024
0.08694023681123399,0.05674561498553157
0.08731693010976727,0.05685122459757594
0.08768616984991029,0.05695383630875116
0.08804795603166304,0.057053450119057214
0.08840228865502552,0.057150066028494095
0.08874916771999773,0.05724368403706183
0.08908859322657968,0.05733430414476039
0.08942056517477137,0.05742192635158979
0.08974508356457278,0.05750655065755003
0.09006214839598393,0.05758817706264111
0.09037175966900482,0.05766680556686302
0.09067391738363545,0.05774243617021578
0.09096862153987581,0.057815068872699375
0.09125587213772589,0.05788470367431381
0.09153566917718572,0.057951340575059074
0.09180801265825528,0.05801497957493518
0.09207290258093456,0.058075620673942126
0.09233033894522358,0.058133263872079906
0.09258032175112235,0.058187909169348524
0.09282285099863086,0.05823955656574799
0.09305792668774908,0.05828820606127828
0.09328554881847703,0.05833385765593941
0.09350571739081473,0.05837651134973139
0.09371843240476217,0.0584161671426542
0.09392369386031933,0.05845282503470785
0.09412150175748624,0.058486485025892335
0.09431185609626286,0.05851714711620765
0.09449475687664924,0.05854481130565382
0.09467020409864534,0.05856947759423081
0.09483819776225116,0.05859114598193865
